latitude	longitude	name	parsed
42.50425509999999	-72.3320289	New Salem	New Salem, MA, USA
42.4259283	-71.3039469	Lincoln	Lincoln, MA, USA
41.9584457	-70.6672621	Plymouth	Plymouth, MA, USA
42.6820293	-72.33897429999999	Warwick	Warwick, MA, USA
42.1398577	-71.5163049	Milford	Milford, MA, USA
42.1125914	-73.1431637	Sandisfield	Sandisfield, MA, USA
41.6362152	-70.93420499999999	New Bedford	New Bedford, MA, USA
42.63620520000001	-70.8431049	Hamilton	Hamilton, MA, USA
42.0245442	-71.1286594	Easton	Easton, MA, USA
41.7056291	-70.2286681	Yarmouth	Yarmouth, MA, USA
41.8929942	-70.9107708	Middleborough	Middleborough, MA, USA
42.76036879999999	-71.0314451	Groveland	Groveland, MA, USA
42.590354	-72.3097914	Orange	Orange, MA, USA
41.7426094	-70.1619638	East Dennis	East Dennis, Dennis, MA, USA
42.2797554	-71.1626756	West Roxbury	West Roxbury, Boston, MA, USA
42.555644	-72.06757900000001	Templeton	Templeton, MA, USA
42.3463503	-71.1626756	Brighton	Brighton, Boston, MA, USA
42.5372893	-71.5128022	Littleton	Littleton, MA, USA
42.4184296	-71.1061639	Medford	Medford, MA, USA
41.705833	-70.1625	South Dennis	South Dennis, Dennis, MA, USA
42.452303	-71.1369959	Winchester	Winchester, MA, USA
42.5750009	-70.93212199999999	South Danvers	Danvers, MA, USA
42.6375941	-70.9495053	Topsfield	Topsfield, MA, USA
42.4663727	-72.5795115	Sunderland	Sunderland, MA, USA
42.0417525	-70.6722767	Duxbury	Duxbury, MA, USA
42.53869	-71.0465638	Lynnfield	Lynnfield, MA, USA
42.017778	-71.54166699999999	Blackstone	Blackstone, MA, USA
42.05009099999999	-71.88006279999999	Webster	Webster, MA, USA
42.33176419999999	-71.1211635	Brookline	Brookline, MA, USA
42.7070354	-71.1631137	Lawrence	Lawrence, MA, USA
42.3917638	-71.0328284	North Chelsea	Chelsea, MA, USA
42.5998139	-71.3672838	Chelmsford	Chelmsford, MA, USA
42.0667652	-71.3281114	Wrentham	Wrentham, MA, USA
